Dataset,BOOSTING Jaccard,BOOSTING FPS,BOOSTING kbps,KCF Jaccard,KCF FPS,KCF kbps,MEDIANFLOW Jaccard,MEDIANFLOW FPS,MEDIANFLOW kbps,MIL Jaccard,MIL FPS,MIL kbps,TLD Jaccard,TLD FPS,TLD kbps,Attributes
ClifBar,0.2698395177,5.7850207989,22.1553988042,0.2646097371,10.6241618214,40.6882793162,0.1350483754,27.0511194789,103.6000320469,0.1849151692,1.2320392208,4.7184480798,0.1969956603,1.4221254741,5.446437986,"SV ,OCC ,MB ,FM ,IPR ,OV ,BC"
Matrix,0.3143463237,5.0441508409,320.9914171481,0.099928942,14.4005425077,916.3981595816,0.0068071875,10.8774103765,692.1988421381,0.0245016677,1.2388450295,78.8355927885,0.0259828535,0.8646245922,55.02156496,"IV ,SV ,OCC ,FM ,IPR ,OPR ,BC"
Woman,0.1938186412,5.0419590134,20.1339405309,0.2029523321,10.67643257,42.6339559434,0.0446748591,25.5254017859,101.9300078039,0.5866544481,1.1865206823,4.7381061198,0.1820761719,1.5878510384,6.3407295248,"IV ,SV ,OCC ,DEF ,MB ,FM ,OPR"
Gym,0.0582931103,4.1142698379,12.5487579916,0.3993628649,5.062455333,15.4407779072,0.1232083505,24.1352544702,73.6139046163,0.3963408602,1.3180995328,4.0202788581,0.3320326148,1.5048528518,4.5898871476,"SV ,DEF ,IPR ,OPR"
Football,0.4088145437,4.4809168735,63.8996123684,0.5336977787,12.0468563311,171.7928431929,0.535924063,12.6813084609,180.8403766117,0.6206207913,1.180713013,16.8374254601,0.1657973341,0.9508051794,13.558850591,"OCC ,IPR ,OPR ,BC"
Surfer,0.0460621307,6.4720611331,70.0851539812,0.0297074307,42.0841748762,455.7243536056,0.5730403749,15.8642515507,171.7920288244,0.3154719913,1.1703555852,12.6736366849,0.4095986456,0.4606275838,4.9880794508,"SV ,FM ,IPR ,OPR ,LR"
Bolt,0.0109239987,4.8589986804,75.1822145389,0.0315650635,12.3459773003,191.0265828701,0,12.6048505054,195.032070857,0.0155445868,1.4567010534,22.5392140063,0.0051275878,1.0122780686,15.6627552165,"OCC ,DEF ,IPR ,OPR"
RedTeam,0.3186685565,7.0817816969,7.3145163067,0.5030588046,33.6835994256,34.7905721766,0.026714307,29.5799206869,30.5520307565,0.3803769403,1.1968540143,1.2361872449,0.0864680216,0.9260817848,0.9565163974,"SV ,OCC ,IPR ,OPR ,LR"
MountainBike,0.6690325365,3.4030957467,80.954700583,0.6850903284,5.6318845447,133.9743459968,0.212671126,12.6199710319,300.2107646352,0.6375477591,1.1848815215,28.1866088804,0.122167069,0.7571016822,18.010348386,"IPR ,OPR ,BC"
Car2,0.3412309753,4.5267611023,8.9343969124,0.6799879877,7.6724756112,15.1430439696,0.3120410534,27.127872223,53.5418530716,0.378006267,1.2703497352,2.5072692142,0.3965465685,1.1634087259,2.2962014328,"IV ,SV ,MB ,FM ,BC"
Dancer,0.6260226325,3.4792434857,28.6571617462,0.6623166769,4.3381388679,35.7315455863,0.1194027972,25.3754461519,209.0075810278,0.5814499424,1.1261793574,9.2758969393,0.5641637454,0.9824128108,8.0917483745,"SV ,DEF ,IPR ,OPR"
Panda,0.384255552,7.1216625334,12.1461237689,0.1463648207,33.3959934436,56.9574685476,0.0490313212,28.641557587,48.8486925287,0.5236227182,1.1878312404,2.0258675828,0.33672738,1.5571619953,2.6557678399,"SV ,OCC ,DEF ,IPR ,OPR ,OV ,LR"
Car1,0.0863005546,4.1931490882,7.406936564,0.0944081168,6.6029800707,11.6637528236,0.1609668242,27.0295168425,47.745957131,0.0883664691,1.1886002583,2.0995882875,0.0860099679,1.8459936885,3.2608328159,"IV ,SV ,MB ,FM ,BC ,LR"
BlurFace,0.1971041399,1.7559134911,25.7486296043,0.4767724713,7.0121910726,102.8264271344,0.3669439264,10.5387829358,154.5401978372,0.113840143,1.1777984795,17.2711793324,0.4487336871,0.5354900345,7.8523996907,"MB ,FM ,IPR"
Suv,0.4809516592,4.2702188712,8.1423664916,0.4726683533,6.8770499018,13.1130188805,0.4109387062,28.34087674,54.0398073433,0.3264117553,1.2448237092,2.3736045302,0.6171612464,0.9017621197,1.7194616689,"OCC ,IPR ,OV"
